0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
42,pollution,carbon,carbon pollution,cutting,cutting carbon pollution,cutting carbon,cut,cut carbon,cut carbon pollution,billion,reduce,support,last,dangerous,#actonclimate,power,save,business,1,taking
43,t,can,can t,stop,h,let,we,future,even,#leadontrade,nothing,out,breaking,running,act,must,longer,national,democracy,president obama #leadontrade
44,here,here s,s,here s chance,s chance,chance,watch here,way,for,everyone,would,reminder,next,know,many,year,going,great,reason,side
45,country,across,across country,editorial,board,editorial board,board across country,board across,editorial board across,vacancy,calling,volunteer,around,organizer,stand,#scotus vacancy,court vacancy,supreme court vacancy,and,fill supreme court
46,need,america need,budget,congress,#leadontrade,pas,lead,vote,end,know,we,justice,organizing,discus,clear,shutdown,#doyourjob,every,education,around
47,deadline,chip,tonight,the,now,movement,big,miss,grassroots,right,grassroots movement,in,part,january,tomorrow,support,right now,keep,up,2016
48,day,every,left,pay,last,deserves,s,hard,work,s work,deserves fair,veteran,seven,thank,year,two,on,rt,2016,away
49,live,live president,live president obama,president obama delivering,obama delivering,delivering,obama delivering statement,delivering statement,statement,remark,national,president,talking,economy,anniversary,town hall,hall,town,honor,community
50,re,we re,we,we re going,re going,going,together,obama #immigrationaction,president obama #immigrationaction,making,#immigrationaction,keep,done,stronger,rt @whitehouse we,@whitehouse we,if,eight,better,shot
51,get,covered,get covered,done,ready,ahead,work,help,fact,able,everything,education,conversation,late,easy,hard,organizing,january,program,policy
52,state,united,united state,#leadontrade,leading,state union,union,world,5,world s,#leadonleave,see,uninsured,strongest,huge,president s,level,#raisethewage,icymi,#madeinamerica
53,retweet,agree,retweet agree,agree time,spread word,spread,word,name agree,add name agree,#leadonleave,believe,rt agree,political,work,equal,#opportunityforall,education,rt,rt @ofa,#loveislove
54,new,help,new year,year,step,protect,step help,help #stopgunviolence,#stopgunviolence,jobs,2016,million new,start,report,announcing,administration,pollution,covered,security,access
55,progress,made,real,real progress,year,progress we,we ve made,ve made,making,progress we ve,economic,economy,keep,six,proud,fighting,years,work,build,past
56,take,look,take look,stand,question,action,le,story,organizer,next,week,home,level,help,behind,came,together,pledge,build,now
57,people,american people,young,young people,happen,like,change,love,thousand,the,senate leader,leader,want,obama #lovewins,president obama #lovewins,thing,stand,life,#lovewins,together
58,i,i m,m,going,believe,i ve,better,i believe,i want,ve,want,obama #immigrationaction,president obama #immigrationaction,protect,keep,think,president obama #collegeopportunity,obama #collegeopportunity,president obama #acaworks,obama #acaworks
59,good,economy,news,good news,since,job,economic,#actonjobs,great news,great,worker,rate,unemployment,look,#leadontrade,woman,higher,marketplace,year,rt
60,important,conversation,another,reason,never,speak,#netneutrality,work,#leadontrade,rights,way,s,talk,protecting,water,ever,the,everyone,read,keep
61,#loveislove,love,equality,marriage,marriage equality,matter,month,lgbt,celebrate,#lovewins,believe,stand,toward,retweet,proud,join,look,continue,state,right
62,one,organizer,question,loved,way,thing,organizing,action,everything,find,best,s,ever,around,save,in,impact,even,every,last
63,fight,fight climate,fight climate change,fight #actonclimate,climate change #actonclimate,change #actonclimate,historic,equality,over,alaska,step,join,continue,way,rights,leading,chip,like,moment,big
64,sign,card,birthday,@ofa s,s birthday,card president,sign @ofa,sign @ofa s,petition,holiday,s,send,ofa,@ofa,sign petition,celebrate,season,last,wish,nomination
