id,user_id,created_at,tweet_text,President Obama,Fight climate Change,Judge Garland nomination,White House twitter handle,President Obama live speech
6.42098E+17,813286,9/10/2015 22:09,"""This vote is a victory for diplomacy ... and for the safety and security of the world."" --President Obama on the #IranDeal vote",0.0372,0,0.0216,0,0
6.63836E+17,813286,11/9/2015 21:51,LIVE: President Obama is speaking to @OFA volunteers at the #OFAFallSummit. https://t.co/Ao84Izvixv,0.0375,0,0,0,0
6.33318E+17,813286,8/17/2015 16:41,Take a stand with state leaders committed to #ActOnClimate. Show your support for the Clean Power Plan: http://t.co/yo59OncP6E,0,0,0.0085,0,0
5.51513E+17,813286,1/3/2015 22:58,Watch the weekly address: @VP Biden wants people to #GetCovered in the new year. http://t.co/qgvyiUqMAy,0,0,0,0,0.0062
6.39806E+17,813286,9/4/2015 14:24,"The economy added 173,000 jobs in August--a record-breaking 66 consecutive months of private-sector job growth.",0,0,0,0,0
5.47132E+17,813286,12/22/2014 20:49,It's the holiday season--sign this card for President Obama: http://t.co/1hMgLtyJF4,0.0415,0,0,0,0
6.07922E+17,813286,6/8/2015 14:49,Stand up for expanding #CollegeOpportunity for hard-working students: http://t.co/pTyByoRWiB http://t.co/6CzJziVTGw,0,0,0,0,0
7.63429E+17,813286,8/10/2016 17:36,Don't let the cynics win. Keep pushing for change with @OFA. https://t.co/uNYCHVCDWH,0,0.042,0,0,0
6.86967E+17,813286,1/12/2016 17:42,One last time. #SOTU https://t.co/Fu9YeOQG9D,0,0,0,0,0
7.33327E+17,813286,5/19/2016 16:02,Stand up for middle-class workers--add your name to support the Obama administration's new #overtime rule: https://t.co/SCLjZFP6aX,0.0079,0,0,0,0
6.82659E+17,813286,12/31/2015 20:25,Thinking of ways you can help out over the next year? Look no further: https://t.co/BhXZzzrqqt https://t.co/dYSv2HwKjW,0,0,0,0,0
5.17754E+17,813286,10/2/2014 19:12,"""It is the American people who have made the progress of the last six years possible."" --President Obama #AmericaLeads",0.0349,0,0,0,0
6.05443E+17,813286,6/1/2015 18:37,Be on the right side of history. Add your name to continue the fight for equality: http://t.co/08I1PRCsAM #LoveIsLove,0,0,0,0,0
7.17073E+17,813286,4/4/2016 19:36,An overwhelming majority of Americans want a fair #SCOTUS nomination process--add your name if you're one of them: https://t.co/rC9AMKaQVm,0,0,0.0159,0,0
6.62353E+17,813286,11/5/2015 19:36,"""When we have a level playing field, Americans out-compete anyone in the world."" --President Obama https://t.co/xShwzu6OQF #LeadOnTrade",0.0364,0,0,0,0
5.67843E+17,813286,2/18/2015 0:27,"RT @WhiteHouse: BREAKING: About 11.4 million Americans are signed up for private health coverage. #11MillionAndCounting #ACAWorks
https://t...",0,0,0,0.0744,0
6.28972E+17,813286,8/5/2015 16:53,"""I have repeatedly challenged anyone opposed to this deal to put forward a better, plausible alternative."" --President Obama #IranDeal",0.0386,0,0,0,0
6.59395E+17,813286,10/28/2015 15:44,America's mayors are calling for Congress to #DoSomething about gun violence. https://t.co/tijFKUT4lI,0,0,0,0,0
5.57728E+17,813286,1/21/2015 2:35,"""We still need laws that strengthen rather than weaken unions, and give American workers a voice."" --President Obama #SOTU #AmericaLeads",0.0346,0,0.0102,0,0
5.81196E+17,813286,3/26/2015 20:50,"""I want to put more people back to work--rebuilding our roads and our bridges, modern ports, faster trains, faster internet"" --President Obama",0.0413,0,0,0,0
6.61639E+17,813286,11/3/2015 20:20,RT @OFA: Great news: Montana just became the 30th state to put #PeopleOverPolitics and expand Medicaid. https://t.co/hwQM1YJnID,0,0,0,0.0183,0
6.6228E+17,813286,11/5/2015 14:47,"Negotiations on the #TPP are complete, and the full text is now available online. Find out more: https://t.co/A6WiTdMOXp #LeadOnTrade",0,0,0,0,0
7.17385E+17,813286,4/5/2016 16:16,LIVE: President Obama is delivering a statement on the economy. https://t.co/7u5ZLGAoK4,0.031,0,0,0,0
6.87108E+17,813286,1/13/2016 3:03,"""Democracy grinds to a halt without a willingness to compromise."" --President Obama #SOTU",0.0471,0,0,0,0
6.13085E+17,813286,6/22/2015 20:41,"The benefits of fighting climate change are clear--the sooner we #ActOnClimate, the better off we'll be. http://t.co/i4ZN8k7xL6",0.0011,0.0982,0,0,0
5.10451E+17,813286,9/12/2014 15:33,RT @billclinton: #OTD in '94 I welcomed the 1st class of @Americorps. Grateful to the 900K members who've kept the spirit of service alive ...,0,0,0,0.0307,0
5.20585E+17,813286,10/10/2014 14:42,"""It's long past time for us to raise the minimum wage."" -- President Obama #With1010 http://t.co/ByAFcu1UVL",0.0359,0,0,0,0
5.88743E+17,813286,4/16/2015 16:38,Happy #NationalHighFiveDay! http://t.co/HkSzyr0rOK,0,0,0,0,0
7.48283E+17,813286,6/29/2016 22:30,Add your name if you agree: Climate change is real and it's going to take global action to tackle it. https://t.co/HC4QGNDFWC #ActOnClimate,0,0.094,0,0,0
5.77899E+17,813286,3/17/2015 18:27,Happy Saint Patrick's Day. http://t.co/i2hxSFrYGB,0,0,0,0,0
6.92775E+17,813286,1/28/2016 18:22,The open enrollment period ends on Sunday--talk to your friends about how they can #GetCovered: https://t.co/kWeRXI249K,0,0,0,0,0
7.45688E+17,813286,6/22/2016 18:39,RT @repjohnlewis: My colleagues &amp; I have had enough. We are sitting-in on the House Floor until we get a vote to address gun violence. http...,0,0,0.0092,0.0261,0
5.04305E+17,813286,8/26/2014 16:32,"""Upholding our trust with our veterans is not just a matter of policy--it's a moral obligation."" --President Obama at #ALConvention",0.0451,0,0,0,0
6.87356E+17,813286,1/13/2016 19:28,RSVP for @OFA's call with @VP Biden at 3:15 p.m. ET today. You don't want to miss it: https://t.co/OHdbzd4MEh https://t.co/9iqaRMiZ92,0,0,0,0,0.1197
6.39525E+17,813286,9/3/2015 19:46,RT @CNNPolitics: .@POTUS busts a move with Alaskan middle schoolers http://t.co/1DzLfhMDtk  #ObamaAK #Alaska via @KristenhCNN http://t.co/v...,0,0,0,0.0797,0
6.34849E+17,813286,8/21/2015 22:04,Add your name to get important information about the #IranDeal--and make sure you have all the facts: http://t.co/PX1krC7wxC,0,0,0,0,0
5.65234E+17,813286,2/10/2015 19:39,It's time to #GetCovered. Watch: http://t.co/EpFCypkQWH,0,0,0,0.0001,0.0433
6.41719E+17,813286,9/9/2015 21:06,"""I believe that working Americans should have the basic security of paid leave."" --President Obama #LeadOnLeave http://t.co/ynIFoRouyj",0.0299,0,0,0,0
6.21077E+17,813286,7/14/2015 21:59,"""Justice is not only the absence of oppression--it is the presence of opportunity."" --President Obama",0.0677,0,0,0,0
5.22131E+17,813286,10/14/2014 21:04,It's easy to take a meaningful stand for cutting carbon pollution right now: http://t.co/E7sUJxG9sc #ActOnClimate,0,0,0,0,0
6.3913E+17,813286,9/2/2015 17:36,President Obama is highlighting the effects of climate climate during his trip to Alaska. Check it out: http://t.co/Skkh8ciLsE,0.0332,0.0672,0,0,0
6.14452E+17,813286,6/26/2015 15:17,"""This morning the Supreme Court recognized the Constitution guarantees marriage equality."" --President Obama #LoveWins",0.0357,0,0,0,0
5.03964E+17,813286,8/25/2014 17:57,Congress needs to act to build economic #OpportunityForAll: http://t.co/U6ILIOxf35,0,0,0,0,0
5.92029E+17,813286,4/25/2015 18:15,"""We can't surrender to the future--because we are meant to win the future."" --President Obama http://t.co/FT27suS88W #LeadOnTrade",0.036,0,0,0,0
5.0724E+17,813286,9/3/2014 18:52,The other side hopes people like you will get cynical and tune out--you should refuse: http://t.co/ozbejJFvJu,0,0,0,0,0.0164
5.57736E+17,813286,1/21/2015 3:08,Retweet if you agree: #LoveIsLove. #SOTU http://t.co/rDiOb8I6w1,0,0,0,0,0
5.91357E+17,813286,4/23/2015 21:43,"""If I didn't think this was the best thing to do for working families, I would not be doing it."" --President Obama #LeadOnTrade",0.0306,0,0,0,0
5.14129E+17,813286,9/22/2014 19:08,Watch this video about the Earth's climate changing at an unprecedented rate: http://t.co/WlZdS5PMLa #ActOnClimate,0,0.042,0,0,0.0222
5.35602E+17,813286,11/21/2014 1:15,"""If you meet the criteria, you can come out of the shadows and get right with the law."" --President Obama #ImmigrationAction",0.042,0,0,0,0
5.69944E+17,813286,2/23/2015 19:36,"RT @WhiteHouse: ""In America, after a lifetime of hard work, you should be able to retire with dignity and a sense of security."" --Obama #Pro...",0.0145,0,0,0.0961,0
5.65257E+17,813286,2/10/2015 21:13,It's the final countdown: Only five days left in the enrollment period. #GetCovered now. http://t.co/iToBPhVVmy http://t.co/hYgwhVrPa7,0,0,0,0,0
7.76135E+17,813286,9/14/2016 19:05,"RT @cspan: .@RepJohnLewis on #GunViolence: ""The time for silence is over."" https://t.co/zUUX02jNnN",0.003,0,0,0.0472,0
5.17752E+17,813286,10/2/2014 19:04,"""Let's catch up to 2014."" --President Obama on #EqualPay for women",0.0562,0,0,0,0
5.9124E+17,813286,4/23/2015 14:01,RT @WhiteHouse: President Obama will deliver a statement from the White House Briefing Room at 10am ET. Watch here - http://t.co/gOsq0AWf0I,0.0341,0,0,0.0914,0.0654
5.57723E+17,813286,1/21/2015 2:14,"""Our unemployment rate is now lower than it was before the financial crisis."" --President Obama #SOTU",0.0345,0,0,0,0
5.74229E+17,813286,3/7/2015 15:23,WATCH: President Obama discusses the need to encourage the education of girls around the globe. http://t.co/vtisyocnkt #LetGirlsLearn,0.0377,0,0,0,0.0653
5.87748E+17,813286,4/13/2015 22:44,Climate change deniers are running out of excuses. #ActOnClimate http://t.co/guYIY2dyBQ,0,0.1339,0,0,0
7.76872E+17,813286,9/16/2016 19:55,"Six months is long enough, senators. It's time to #DoYourJob and give Judge Garland a hearing. https://t.co/A2Yedmhuw6",0,0,0.1878,0,0
6.28966E+17,813286,8/5/2015 16:27,"""In July, we reached a comprehensive plan of action that meets our objectives."" --President Obama #IranDeal",0.0395,0.0024,0,0,0
6.63061E+17,813286,11/7/2015 18:29,"""For the first time, more than 90% of Americans are covered."" --President Obama https://t.co/oEk3RYamsm #GetCovered",0.0457,0,0,0,0
5.76501E+17,813286,3/13/2015 21:51,Read how the Obama administration is fighting state bans on same-sex marriage: http://t.co/uAjlQQ5jho #LoveIsLove,0.0125,0,0,0,0
5.26812E+17,813286,10/27/2014 19:05,RT @WhiteHouse: Share the news: Our manufacturers are adding jobs at the fastest pace since the 1990s. #MadeInAmerica http://t.co/bdhzFLfRCJ,0,0,0,0.0997,0
5.83294E+17,813286,4/1/2015 15:43,Climate change is a global problem. Here's another step towards solving it: http://t.co/4VapHLCqo4 #ActOnClimate,0,0.1194,0,0,0
6.85163E+17,813286,1/7/2016 18:16,Watch what President Obama has to say about his final #SOTU. https://t.co/vPX1syTKuv,0.052,0,0,0,0.0879
7.53659E+17,813286,7/14/2016 18:33,Stay in touch with the latest news--join the @OFA Truth Team: https://t.co/7KhfzVgngW https://t.co/4JlimjSOUx,0,0,0,0,0
5.42755E+17,813286,12/10/2014 18:59,Celebrate the holiday season with the ones you love--and make sure they #GetCovered: http://t.co/V9Pbj7zBTC,0,0,0,0,0
6.5439E+17,813286,10/14/2015 20:17,Hundreds of organizers recently gathered in New Mexico to celebrate progress on health care reform. Read more: http://t.co/k89X7zL294,0,0,0,0,0
6.55044E+17,813286,10/16/2015 15:35,Add your name to the thousands of people asking Congress to stand up and #DoSomething about gun violence: http://t.co/S2Y1Mk6iWK,0,0,0,0,0
7.01203E+17,813286,2/21/2016 0:34,"RT @davidplouffe: My daughter getting ""egged"" on. She does things at her own pace. #ObamaAndKids https://t.co/BQj2jXrztj",0,0,0,0.0418,0
5.26032E+17,813286,10/25/2014 15:27,Watch the weekly address: President Obama discusses the measures taken to respond to Ebola at home and abroad. http://t.co/tPLL1RirqG,0.0238,0,0,0,0.004
6.46064E+17,813286,9/21/2015 20:50,Read how @OFA volunteers in Tucson are working hard to bring change to their community. http://t.co/oMXhaZuidu,0,0.0344,0,0,0
6.87103E+17,813286,1/13/2016 2:44,"""On rooftops from Arizona to New York, solar is saving Americans tens of millions of dollars a year."" --President Obama #ActOnClimate #SOTU",0.0357,0,0,0,0
6.87099E+17,813286,1/13/2016 2:30,"""We have to make college affordable for every American."" --President Obama #CollegeOpportunity #SOTU",0.0392,0,0,0,0
7.14906E+17,813286,3/29/2016 20:05,Ever met a music legend? Here's your chance--meet James Taylor in Chicago this summer: https://t.co/6QAeg2ZqxX https://t.co/Q0EyXlAXA4,0,0,0,0,0
5.85916E+17,813286,4/8/2015 21:22,"Man-made climate change is happening, and it's a real threat to public health. Read more here: http://t.co/jJu6MMUMSJ",0,0.1044,0,0,0
7.63116E+17,813286,8/9/2016 20:54,Judge Garland has now waited 146 days. That's shameful--and irresponsible. #DoYourJob https://t.co/JaP7YUQyOV,0,0,0.1654,0,0
5.19251E+17,813286,10/6/2014 22:19,Retweet if you're a proud supporter of marriage equality. #LoveIsLove http://t.co/4nrRggtujD,0,0,0,0,0
5.4345E+17,813286,12/12/2014 16:57,Exercise and health insurance: Two ways to have a #Healthy2015. http://t.co/0TWCz2tIhm http://t.co/6nibxbWHJN,0,0,0,0,0
5.09732E+17,813286,9/10/2014 15:57,"Raising the wage, equal pay for equal work, reining in student loan debt--go #OnTheRecord in support of action: http://t.co/8HWX0xCOSD",0,0.0021,0,0,0
7.85913E+17,813286,10/11/2016 18:38,Don't stand idly by while Senate leaders continue to block Judge Garland from a fair hearing and vote: https://t.co/TSavHP3mHg #DoYourJob,0,0,0.2358,0,0
5.16986E+17,813286,9/30/2014 16:21,Add your name if you agree--cutting carbon pollution is just common sense: http://t.co/sRiQiN4HuN #ActOnClimate,0,0,0,0,0
7.38155E+17,813286,6/1/2016 23:47,LAST CHANCE: Keep calm and enter before the midnight deadline. https://t.co/GRHmsl26Hd https://t.co/RJxiN938k8,0,0,0,0,0
5.7431E+17,813286,3/7/2015 20:47,"""This is work for all Americans, and not just some. Not just whites. Not just blacks."" --President Obama #Selma50 #MarchOn",0.0399,0,0,0,0
5.57614E+17,813286,1/20/2015 19:01,Watch: President Obama gives a behind-the-scenes look into tonight's #SOTU address. http://t.co/bCW5Kt2Jb4,0.0417,0,0.0114,0.0002,0.0659
6.48604E+17,813286,9/28/2015 21:03,This movement started with grassroots supporters just like you. Help keep it going--chip in $5 or more today: http://t.co/L5qG329kPg,0,0,0,0,0
